name,sku,description,url,metatitle,metadescription,metakeyword,quantity,price,wholesaleprice,firstsaleprice,secondsaleprice,specialpricefrom,specialpriceto,image,category,productfeatures
Sterling Silver Pendant Set & Finger ring,PFN-54-24-SS,Unique design & elegant style make this Necklace set above all jewellery.,,,,,10,65000,65000,,,,,"PFN-54-24-SS-01-(1).jpg , PFN-54-24-SS-01-(3).jpg , PFN-54-24-SS-01-(4).jpg",Pendant Set,Unique design & elegant style make this Necklace set above all jewellery.
American Diamond Pendant Set,PDS-2298-32-AD-IT,"Dynasty in its look, a highly creative traditional Pendent set to suite your matching standards.",,,,,10,18500,18500,,,,,"PDS-2298-32-AD-IT-(2).jpg , PDS-2298-32-AD-IT-(3).jpg , PDS-2298-32-AD-IT-(4).jpg",AD Pendant Set,"Dynasty in its look, a highly creative traditional Pendent set to suite your matching standards."
American Diamond Pendant Set & Finger ring,PFN-07-70-AD,This Necklace set will create the aura of elegance around you.,,,,,10,42500,42500,,,,,"PFN-07-70-AD-01-(1).jpg , PFN-07-70-AD-01-(3).jpg , PFN-07-70-AD-01-(4).jpg",AD Pendant Set,This Necklace set will create the aura of elegance around you.
American Diamond Pendant & Booties,PB-1360-78-AD,"This is only for the lady who rules the world with her style, brilliant piece of design can see in this precious stone embedded in this classy Necklace set.",,,,,10,10500,10500,,,,,"PB-1360-78-AD-01-(1).jpg , PB-1360-78-AD-01-(3).jpg , PB-1360-78-AD-01-(4).jpg",AD Pendant Set,"This is only for the lady who rules the world with her style, brilliant piece of design can see in this precious stone embedded in this classy Necklace set."
Italian Jewellery Pendant Set ,PDS-2552-52-IJ,Charming design with perfect finished cut make this designer necklace set more beautiful.,,,,,10,33500,33500,,,,,"PDS-2552-52-IJ-01-(1).jpg , PDS-2552-52-IJ-01-(3).jpg , PDS-2552-52-IJ-01-(4).jpg",Italian Pendant Set,Charming design with perfect finished cut make this designer necklace set more beautiful.
American Diamond Pendant & Booties,PB-1405-32-AD,This artistic Necklace symbolizes the color of freshness.,,,,,10,10500,10500,,,,,"PB-1405-32-AD-01-(1).jpg , PB-1405-32-AD-01-(4).jpg , PB-1405-32-AD-01-(5).jpg",AD Pendant Set,This artistic Necklace symbolizes the color of freshness.
American Diamond Pendant & Booties,PB-1662-70-AD,You can't take your eyes off from this beautiful necklace set.,,,,,10,42500,42500,,,,,"PB-1662-70-AD-01-(1).jpg , PB-1662-70-AD-01-(3).jpg , PB-1662-70-AD-01-(4).jpg",AD Pendant Set,You can't take your eyes off from this beautiful necklace set.
American Diamond Pendant & Booties,PB-1357-78-AD,So royal & so beautiful a masterpiece design of necklace which is elegantly belongs to you.,,,,,10,15500,15500,,,,,"PB-1357-78-AD-01-(1).jpg , PB-1357-78-AD-01-(3).jpg , ",AD Pendant Set,So royal & so beautiful a masterpiece design of necklace which is elegantly belongs to you.
American Diamond Pendant & Booties,PB-1658-70-AD,Attitude is classy & this necklace stands above all design with such an exotic look it is hard to resist yourself.,,,,,10,35500,35500,,,,,"PB-1658-70-AD-01-(1).jpg , PB-1658-70-AD-01-(3).jpg , PB-1658-70-AD-01-(4).jpg , PB-1658-70-AD-01-(5).jpg , PB-1658-70-AD-01-(7).jpg , PB-1658-70-AD-01-(8).jpg",AD Pendant Set,Attitude is classy & this necklace stands above all design with such an exotic look it is hard to resist yourself.
Italian Jewellery Pendant Set ,PDS-2547-52-IJ,Marvelous is the only word to describe this adorable Necklace set.,,,,,10,21500,21500,,,,,"PB-2547-52-IJ-01-(1).jpg , PB-2547-52-IJ-01-(3).jpg , PB-2547-52-IJ-01-(4).jpg",Italian Pendant Set,Marvelous is the only word to describe this adorable Necklace set.
