name,sku,description,url,metatitle,metadescription,metakeyword,quantity,price,wholesaleprice,firstsaleprice,secondsaleprice,specialpricefrom,specialpriceto,image,category,productfeatures
Vilandi ,PDS-2375-16-VL,Marvelous Vilandi set designed with Acute Diamond With American Diamond and Meenakari ,,,,,10,18500,18500,,,,,"PDS-2375-16-01 (1).jpg,PDS-2375-16-01 (3).jpg,PDS-2375-16-01 (4).jpg",Vilandi Necklace Set,Marvelous Vilandi set designed with Acute Diamond With American Diamond and Meenakari 
Vilandi Set ,Set-8234-16-VL,Magnificant Vilandi set designed with  Acute Diamond and Designer Set and Meenakari,,,,,10,18500,18500,,,,,"Set-8234-16-01 (1).jpg,Set-8234-16-01 (3).jpg,Set-8234-16-01 (4).jpg",Vilandi Necklace Set,Magnificant Vilandi set designed with  Acute Diamond and Designer Set and Meenakari
Vilandi Set ,Set-8590-16-VL ,Gorgeous Vilandi set designed with Acute  Diamondand and Meenakari,,,,,10,18500,18500,,,,,"Set-8590-16-01 (1).jpg,Set-8590-16-01 (3).jpg,Set-8590-16-01 (4).jpg",Vilandi Necklace Set,Gorgeous Vilandi set designed with Acute  Diamondand and Meenakari
Vilandi Set ,Set-5745-24-VL ,Marvelous Vilandi set designed with Acute and and Meenakari,,,,,10,33500,33500,,,,,"Set-5745-24-01 (1).jpg,Set-5745-24-01 (4).jpg",Vilandi Necklace Set,Marvelous Vilandi set designed with Acute and and Meenakari
Vilandi Set ,Set-7823-16-VL,Elegant Vilandi set designed with Acute  Diamond and and Meenakari,,,,,10,19500,19500,,,,,"Set-7823-16-01 (1).jpg,Set-7823-16-01 (3).jpg,Set-7823-16-01 (4).jpg",Vilandi Necklace Set,Elegant Vilandi set designed with Acute  Diamond and and Meenakari
Vilandi Set ,Set-9464-56-VL,Designer Vilandi sety with Acute  Diamond and and Meenakari,,,,,10,15650,15650,,,,,"Set-9464-56-01 (1).jpg,Set-9464-56-01 (3).jpg,Set-9464-56-01 (4).jpg",Vilandi Necklace Set,Designer Vilandi sety with Acute  Diamond and and Meenakari
Vilandi Set ,Set-4382-16-VL ,Beutifully designed Vilandi set designed with Acute Diamond and and Meenakari,,,,,10,28500,28500,,,,,"Set-4382-16-01 (1).jpg,Set-4382-16-01 (3).jpg",Vilandi Necklace Set,Beutifully designed Vilandi set designed with Acute Diamond and and Meenakari
Vilandi Set ,Set-9527-13-VL ,Stunning Vilandi set designed with Acute Diamond  and Ruby Invisible Setting with Fresh Water Peral ,,,,,10,22950,22950,,,,,Set-9527-13-VL.jpg,Vilandi Necklace Set,Stunning Vilandi set designed with Acute Diamond  and Ruby Invisible Setting with Fresh Water Peral 
Vilandi Set ,Set-9166-56-VL ,Magnificant Vilandi set designed with Acute Diamond  and Meenakari ,,,,,10,21500,21500,,,,,"Set-9166-56-01 (1).jpg,Set-9166-56-01 (4).jpg,Set-9166-56-01 (5).jpg",Vilandi Necklace Set,Magnificant Vilandi set designed with Acute Diamond  and Meenakari 
Vilandi Set ,Set-9418-57-VL ,Amazing Vilandi set designed with Acute Diamond  and Meenakari ,,,,,10,19990,19990,,,,,"Set-9418-57-01 (3).jpg,Set-9418-57-01 (4).jpg",Vilandi Necklace Set,Amazing Vilandi set designed with Acute Diamond  and Meenakari 
Vilandi Set ,Set-8565-16-VL ,Adorable Vilandi set designed with Acute Diamond  and Meenakari ,,,,,10,16500,16500,,,,,"Set-8565-16-01 (1).jpg,Set-8565-16-01 (4).jpg",Vilandi Necklace Set,Adorable Vilandi set designed with Acute Diamond  and Meenakari 
Vilandi Set,Set-9154-55-VL ,Marvelous Vilandi set designed with Acute Diamond  and Meenakari ,,,,,10,29990,29990,,,,,Set-9154-55-VL.jpg,Vilandi Necklace Set,Marvelous Vilandi set designed with Acute Diamond  and Meenakari 
Vilandi Set ,Set-8789-57-VL ,Dynasty and  highly creative Vilandi set designed with Acute Diamond  and Meenakari ,,,,,10,12000,12000,,,,,"Set-8789-57-01 (1).jpg,Set-8789-57-01 (3).jpg,Set-8789-57-01 (4).jpg",Vilandi Necklace Set,Dynasty and  highly creative Vilandi set designed with Acute Diamond  and Meenakari 
Vilandi Set ,Set-8771-57-VL ,Gorgeous Vilandi set designed with Acute Diamond  and Meenakari ,,,,,10,21000,21000,,,,,"Set-8771-57-01 (1).jpg,Set-8771-57-01 (3).jpg,Set-8771-57-01 (5).jpg,Set-8771-57-01 (6).jpg",Vilandi Necklace Set,Gorgeous Vilandi set designed with Acute Diamond  and Meenakari 
Vilandi Set,Set-4383-16-VL ,Elegant Vilandi set designed with Fresh Water Pearl and Amberal Stone ,,,,,10,32000,32000,,,,,"Set-4383-16-01 (1).jpg,Set-4383-16-01 (4).jpg,Set-4383-16-01 (5).jpg",Vilandi Necklace Set,Elegant Vilandi set designed with Fresh Water Pearl and Amberal Stone 
Pearl Mala ,Set-1638-24-PRL ,Amazing beaded  Pearl Mala with Fresh Water Pearl and Amberal Stone ,,,,,10,18500,18500,,,,,"Mala-1638-24-01 (1).jpg,Mala-1638-24-01 (3).jpg,Mala-1638-24-01 (5).jpg",Pearl Mala ,Amazing beaded  Pearl Mala with Fresh Water Pearl and Amberal Stone 
Pearl Mala ,Set-1637-24-PRL ,Colourful beaded  Pearl Mala with Fresh Water Pearl and Amberal Stone ,,,,,10,18500,18500,,,,,"Mala-1637-24-01 (3).jpg,Mala-1637-24-01 (4).jpg",Pearl Mala ,Colourful beaded  Pearl Mala with Fresh Water Pearl and Amberal Stone 
